-114.087131,51.076288,"Carl's Jr-Calgary,AB","1140 16 Ave NW, Calgary,AB T2M 0K8, (587) 349-1377"
-113.616684,53.5401154,"Carl's Jr-Edmonton,AB","10041 171 St, Edmonton,AB, (587) 521-5515"
-118.834359,55.15117,"Carl's Jr-Grande Prairie,AB","South 40 Centre, Grande Prairie,AB T8W 0G9, (780) 832-0085"
-110.062842,53.277523,"Carl's Jr-Lloydminster,AB","Unit 107 7907 44 St, Lloydminster,AB T5V 0X9, (780) 875-5004"
-113.81483,52.209247,"Carl's Jr-Red Deer,AB","101-1598 Leva Ave, Red Deer,AB T4E 0A5, (403) 340-0267"
-113.8856125,53.5427361,"Carl's Jr-Spruce Grove,AB","420 131 Century Crossing, Spruce Grove,AB T7X 0C8"
-149.860912,61.108737,"Carl's Jr/Green Burrito-Anchorage,AK","1137 Huffman Rd, Anchorage,AK 99515-3521, (907) 522-7555"
-149.84069,61.13732,"Carl's Jr-Anchorage,AK","2242 Abbott Road, Anchorage,AK 99507, (907) 336-3381"
-149.895102,61.195163,"Carl's Jr-Anchorage,AK","650 W Northern Lights Blvd, Anchorage,AK 99503-3804, (907) 276-2275"
-149.565405,61.331465,"Carl's Jr-Eagle River,AK","12319 Old Glenn Hwy, Eagle River,AK 99577-7555, (907) 622-4304"
-147.812614,64.834275,"Carl's Jr/Green Burrito-Fairbanks,AK","1391 University Ave S, Fairbanks,AK 99709, (907) 451-5500"
-147.7048,64.8455,"Carl's Jr-Fairbanks,AK","420 Merhar Ave, Fairbanks,AK 99701-3166, (907) 451-5523"
-151.238479,60.558876,"Carl's Jr/Green Burrito-Kenai,AK","10640 Kenai Spur Highway, Kenai,AK 99611-7813, (907) 283-3538"
-149.405521,61.578809,"Carl's Jr-Wasilla,AK","1741 E Palmer Wasilla Hwy, Wasilla,AK 99654, (907) 376-4360"
-111.528635,33.388242,"Carl's Jr-Apache Junction,AZ","2933 S Tomahawk Rd, Apache Junction,AZ 85219-8577, (480) 982-5815"
-112.556546,33.443348,"Carl's Jr-Buckeye,AZ","416 S Watson Rd, Buckeye,AZ 85326, (623) 327-3667"
-114.3521,34.9855,"Carl's Jr/Green Burrito-Bullhead City,AZ","2195 Highway 95, Bullhead City,AZ 86442, (928) 763-9500"
-114.5671,35.1559,"Carl's Jr/Green Burrito-Bullhead City,AZ","640 N Hwy 95, Bullhead City,AZ 86429, (928) 754-1150"
-111.8830463,34.5745788,"Carl's Jr-Camp Verde,AZ","362 N Goswick Way, Camp Verde,AZ 86322, (928) 567-7569"
