-86.81504,33.2493537,"Jimmy John's-Alabaster,AL","634 1st St N [ste 300], Alabaster,AL, (205) 564-8228"
-85.481567,32.607342,"Jimmy John's-Auburn,AL","126 North College Street, Auburn,AL 36830, (334) 502-0444"
-86.7973405,33.5000637,"Jimmy John's-Birmingham,AL","1919 11th Ave S, Birmingham,AL, (205) 933-2425"
-86.7884445,33.5117035,"Jimmy John's-Birmingham,AL","2808 7th Ave S [Suite 113], Birmingham,AL, (205) 250-6262"
-86.8073425,33.5171018,"Jimmy John's-Birmingham,AL","323 20th St N, Birmingham,AL, (205) 957-6565"
-86.8117599,33.5206795,"Jimmy John's-Birmingham,AL","3411 Colonnade Parkway [Suite 112], Birmingham,AL,(205) 262-4788"
-86.7032962,33.4250738,"Jimmy John's-Birmingham,AL","4647 Hwy 280 [Ste U], Birmingham,AL, (205) 874-9762"
-86.84606,34.17945,"Jimmy John's-Cullman,AL","107 Arnold St NW, Cullman,AL, (256) 737-3000"
-86.9734443,34.5642818,"Jimmy John's-Decatur,AL","2401 6th Ave SE [Suite B-6], Decatur,AL, (256) 584-9997"
-85.459053,31.2368813,"Jimmy John's-Dothan,AL","4440 West Main St, Dothan,AL, (334) 792-2577"
-85.8273236,31.3238333,"Jimmy John's-Enterprise,AL","913 Rucker Blvd [Ste 38], Enterprise,AL, (334) 417-0290"
-87.676331,34.800167,"Jimmy John's-Florence,AL","101 N Court St, Florence,AL, (256) 768-9994"
-85.9860025,34.0089532,"Jimmy John's-Gadsden,AL","510 E Meighan Blvd [Ste A10], Gadsden,AL, (256) 543-2333"
-86.7996902,33.3687859,"Jimmy John's-Hoover,AL","4730 Chace Circle [Ste 112], Hoover,AL, (205) 682-2777"
-86.854576,33.356377,"Jimmy John's-Hoover,AL","5250 Medford Dr [Ste 102], Hoover,AL, (205) 985-2000"
-86.5852542,34.7308208,"Jimmy John's-Huntsville,AL","125 Northside Sq [Ste 100], Huntsville,AL, (256) 534-9996"
-86.5415798,34.6759334,"Jimmy John's-Huntsville,AL","2785 Carl T Jones Dr [Ste E], Huntsville,AL, (256) 384-7888"
-86.577628,34.6908908,"Jimmy John's-Huntsville,AL","975 Airport Rd SW [Suite L1], Huntsville,AL, (256) 213-9997"
